packet,recv_time_epoch,send_time_epoch,recv_time_iso,send_time_iso,processing_time_us,packet_size_bytes,from_ip,from_port
1,1769521223.108557463,1769521223.108739853,2026-01-27T15:40:23.108557,2026-01-27T15:40:23.108740,182.39,64,192.168.10.20,47623
2,1769521223.114040136,1769521223.114161730,2026-01-27T15:40:23.114040,2026-01-27T15:40:23.114162,121.59,64,192.168.10.20,47623
3,1769521223.118971348,1769521223.119061232,2026-01-27T15:40:23.118971,2026-01-27T15:40:23.119061,89.88,64,192.168.10.20,47623
4,1769521223.123806715,1769521223.123895407,2026-01-27T15:40:23.123807,2026-01-27T15:40:23.123895,88.69,64,192.168.10.20,47623
5,1769521223.128576279,1769521223.128660202,2026-01-27T15:40:23.128576,2026-01-27T15:40:23.128660,83.92,64,192.168.10.20,47623
6,1769521223.133351564,1769521223.133445263,2026-01-27T15:40:23.133352,2026-01-27T15:40:23.133445,93.70,64,192.168.10.20,47623
7,1769521223.138074398,1769521223.138157606,2026-01-27T15:40:23.138074,2026-01-27T15:40:23.138158,83.21,64,192.168.10.20,47623
8,1769521223.142701149,1769521223.142787218,2026-01-27T15:40:23.142701,2026-01-27T15:40:23.142787,86.07,64,192.168.10.20,47623
9,1769521223.147388935,1769521223.147486687,2026-01-27T15:40:23.147389,2026-01-27T15:40:23.147487,97.75,64,192.168.10.20,47623
10,1769521223.151974916,1769521223.152061224,2026-01-27T15:40:23.151975,2026-01-27T15:40:23.152061,86.31,64,192.168.10.20,47623
11,1769521223.156489134,1769521223.156580925,2026-01-27T15:40:23.156489,2026-01-27T15:40:23.156581,91.79,64,192.168.10.20,47623
12,1769521223.160917759,1769521223.161003351,2026-01-27T15:40:23.160918,2026-01-27T15:40:23.161003,85.59,64,192.168.10.20,47623
13,1769521223.165283680,1769521223.165367603,2026-01-27T15:40:23.165284,2026-01-27T15:40:23.165368,83.92,64,192.168.10.20,47623
14,1769521223.169578075,1769521223.169656038,2026-01-27T15:40:23.169578,2026-01-27T15:40:23.169656,77.96,64,192.168.10.20,47623
15,1769521223.173896074,1769521223.173979282,2026-01-27T15:40:23.173896,2026-01-27T15:40:23.173979,83.21,64,192.168.10.20,47623
16,1769521223.178244352,1769521223.178332567,2026-01-27T15:40:23.178244,2026-01-27T15:40:23.178333,88.21,64,192.168.10.20,47623
17,1769521223.182435513,1769521223.182517290,2026-01-27T15:40:23.182436,2026-01-27T15:40:23.182517,81.78,64,192.168.10.20,47623
18,1769521223.186617613,1769521223.186698437,2026-01-27T15:40:23.186618,2026-01-27T15:40:23.186698,80.82,64,192.168.10.20,47623
19,1769521223.190759420,1769521223.190852165,2026-01-27T15:40:23.190759,2026-01-27T15:40:23.190852,92.74,64,192.168.10.20,47623
20,1769521223.194951773,1769521223.195045233,2026-01-27T15:40:23.194952,2026-01-27T15:40:23.195045,93.46,64,192.168.10.20,47623
21,1769521223.199095964,1769521223.199180603,2026-01-27T15:40:23.199096,2026-01-27T15:40:23.199181,84.64,64,192.168.10.20,47623
22,1769521223.203267097,1769521223.203361273,2026-01-27T15:40:23.203267,2026-01-27T15:40:23.203361,94.18,64,192.168.10.20,47623
23,1769521223.207386017,1769521223.207478523,2026-01-27T15:40:23.207386,2026-01-27T15:40:23.207479,92.51,64,192.168.10.20,47623
24,1769521223.211533785,1769521223.211633444,2026-01-27T15:40:23.211534,2026-01-27T15:40:23.211633,99.66,64,192.168.10.20,47623
25,1769521223.215221643,1769521223.215283155,2026-01-27T15:40:23.215222,2026-01-27T15:40:23.215283,61.51,64,192.168.10.20,47623
26,1769521223.218783379,1769521223.218840837,2026-01-27T15:40:23.218783,2026-01-27T15:40:23.218841,57.46,64,192.168.10.20,47623
27,1769521223.222234964,1769521223.222291470,2026-01-27T15:40:23.222235,2026-01-27T15:40:23.222291,56.51,64,192.168.10.20,47623
28,1769521223.225657940,1769521223.225714207,2026-01-27T15:40:23.225658,2026-01-27T15:40:23.225714,56.27,64,192.168.10.20,47623
29,1769521223.229105234,1769521223.229161263,2026-01-27T15:40:23.229105,2026-01-27T15:40:23.229161,56.03,64,192.168.10.20,47623
30,1769521223.232688665,1769521223.232746840,2026-01-27T15:40:23.232689,2026-01-27T15:40:23.232747,58.17,64,192.168.10.20,47623
31,1769521223.236362696,1769521223.236418247,2026-01-27T15:40:23.236363,2026-01-27T15:40:23.236418,55.55,64,192.168.10.20,47623
32,1769521223.240146399,1769521223.240210772,2026-01-27T15:40:23.240146,2026-01-27T15:40:23.240211,64.37,64,192.168.10.20,47623
33,1769521223.243777037,1769521223.243828535,2026-01-27T15:40:23.243777,2026-01-27T15:40:23.243829,51.50,64,192.168.10.20,47623
34,1769521223.247250319,1769521223.247308731,2026-01-27T15:40:23.247250,2026-01-27T15:40:23.247309,58.41,64,192.168.10.20,47623
35,1769521223.250708342,1769521223.250762939,2026-01-27T15:40:23.250708,2026-01-27T15:40:23.250763,54.60,64,192.168.10.20,47623
36,1769521223.254106283,1769521223.254158497,2026-01-27T15:40:23.254106,2026-01-27T15:40:23.254158,52.21,64,192.168.10.20,47623
37,1769521223.257482052,1769521223.257535934,2026-01-27T15:40:23.257482,2026-01-27T15:40:23.257536,53.88,64,192.168.10.20,47623
38,1769521223.260871649,1769521223.260929823,2026-01-27T15:40:23.260872,2026-01-27T15:40:23.260930,58.17,64,192.168.10.20,47623
39,1769521223.264385462,1769521223.264442444,2026-01-27T15:40:23.264385,2026-01-27T15:40:23.264442,56.98,64,192.168.10.20,47623
