sequence,status,send_time_epoch,recv_time_epoch,send_time_iso,recv_time_iso,rtt_us,packet_size_bytes,from_ip,from_port,error
1,ok,1769499453.336727381,1769499453.337718487,2026-01-27T09:37:33.336727,2026-01-27T09:37:33.337718,991.11,64,192.168.10.30,5005,
2,ok,1769499453.340599298,1769499453.342718124,2026-01-27T09:37:33.340599,2026-01-27T09:37:33.342718,2118.83,64,192.168.10.30,5005,
3,ok,1769499453.345626593,1769499453.347395182,2026-01-27T09:37:33.345627,2026-01-27T09:37:33.347395,1768.59,64,192.168.10.30,5005,
4,ok,1769499453.350245953,1769499453.351824284,2026-01-27T09:37:33.350246,2026-01-27T09:37:33.351824,1578.33,64,192.168.10.30,5005,
5,ok,1769499453.354641199,1769499453.356199265,2026-01-27T09:37:33.354641,2026-01-27T09:37:33.356199,1558.07,64,192.168.10.30,5005,
6,ok,1769499453.358980656,1769499453.360662699,2026-01-27T09:37:33.358981,2026-01-27T09:37:33.360663,1682.04,64,192.168.10.30,5005,
7,ok,1769499453.363556385,1769499453.365004778,2026-01-27T09:37:33.363556,2026-01-27T09:37:33.365005,1448.39,64,192.168.10.30,5005,
8,ok,1769499453.367886305,1769499453.369418144,2026-01-27T09:37:33.367886,2026-01-27T09:37:33.369418,1531.84,64,192.168.10.30,5005,
9,ok,1769499453.372409344,1769499453.373543739,2026-01-27T09:37:33.372409,2026-01-27T09:37:33.373544,1134.40,64,192.168.10.30,5005,
10,ok,1769499453.376452923,1769499453.377700329,2026-01-27T09:37:33.376453,2026-01-27T09:37:33.377700,1247.41,64,192.168.10.30,5005,
11,ok,1769499453.380543709,1769499453.381814003,2026-01-27T09:37:33.380544,2026-01-27T09:37:33.381814,1270.29,64,192.168.10.30,5005,
12,ok,1769499453.384630442,1769499453.385946035,2026-01-27T09:37:33.384630,2026-01-27T09:37:33.385946,1315.59,64,192.168.10.30,5005,
13,ok,1769499453.388776541,1769499453.390106201,2026-01-27T09:37:33.388777,2026-01-27T09:37:33.390106,1329.66,64,192.168.10.30,5005,
14,ok,1769499453.392977238,1769499453.394236088,2026-01-27T09:37:33.392977,2026-01-27T09:37:33.394236,1258.85,64,192.168.10.30,5005,
15,ok,1769499453.397131681,1769499453.398255110,2026-01-27T09:37:33.397132,2026-01-27T09:37:33.398255,1123.43,64,192.168.10.30,5005,
16,ok,1769499453.401216269,1769499453.402253628,2026-01-27T09:37:33.401216,2026-01-27T09:37:33.402254,1037.36,64,192.168.10.30,5005,
17,ok,1769499453.405188799,1769499453.406228781,2026-01-27T09:37:33.405189,2026-01-27T09:37:33.406229,1039.98,64,192.168.10.30,5005,
18,ok,1769499453.409078598,1769499453.410219669,2026-01-27T09:37:33.409079,2026-01-27T09:37:33.410220,1141.07,64,192.168.10.30,5005,
19,ok,1769499453.413053036,1769499453.414034128,2026-01-27T09:37:33.413053,2026-01-27T09:37:33.414034,981.09,64,192.168.10.30,5005,
20,ok,1769499453.416854382,1769499453.417933226,2026-01-27T09:37:33.416854,2026-01-27T09:37:33.417933,1078.84,64,192.168.10.30,5005,
21,ok,1769499453.420753479,1769499453.421749830,2026-01-27T09:37:33.420753,2026-01-27T09:37:33.421750,996.35,64,192.168.10.30,5005,
22,ok,1769499453.424623966,1769499453.425480843,2026-01-27T09:37:33.424624,2026-01-27T09:37:33.425481,856.88,64,192.168.10.30,5005,
23,ok,1769499453.428430796,1769499453.429128408,2026-01-27T09:37:33.428431,2026-01-27T09:37:33.429128,697.61,64,192.168.10.30,5005,
24,ok,1769499453.432053804,1769499453.432788372,2026-01-27T09:37:33.432054,2026-01-27T09:37:33.432788,734.57,64,192.168.10.30,5005,
25,ok,1769499453.435709953,1769499453.436386108,2026-01-27T09:37:33.435710,2026-01-27T09:37:33.436386,676.16,64,192.168.10.30,5005,
26,ok,1769499453.439229727,1769499453.439794779,2026-01-27T09:37:33.439230,2026-01-27T09:37:33.439795,565.05,64,192.168.10.30,5005,
27,ok,1769499453.442641497,1769499453.443177223,2026-01-27T09:37:33.442641,2026-01-27T09:37:33.443177,535.73,64,192.168.10.30,5005,
28,ok,1769499453.445993900,1769499453.446526527,2026-01-27T09:37:33.445994,2026-01-27T09:37:33.446527,532.63,64,192.168.10.30,5005,
29,ok,1769499453.449335098,1769499453.449956656,2026-01-27T09:37:33.449335,2026-01-27T09:37:33.449957,621.56,64,192.168.10.30,5005,
30,ok,1769499453.452792406,1769499453.453406811,2026-01-27T09:37:33.452792,2026-01-27T09:37:33.453407,614.40,64,192.168.10.30,5005,
