packet,recv_time_epoch,send_time_epoch,recv_time_iso,send_time_iso,processing_time_us,packet_size_bytes,from_ip,from_port
1,1769523420.614095211,1769523420.614285231,2026-01-27T16:17:00.614095,2026-01-27T16:17:00.614285,190.02,64,192.168.10.20,54103
2,1769523420.619372845,1769523420.619495630,2026-01-27T16:17:00.619373,2026-01-27T16:17:00.619496,122.79,64,192.168.10.20,54103
3,1769523420.624245644,1769523420.624339819,2026-01-27T16:17:00.624246,2026-01-27T16:17:00.624340,94.18,64,192.168.10.20,54103
4,1769523420.628889322,1769523420.628974676,2026-01-27T16:17:00.628889,2026-01-27T16:17:00.628975,85.35,64,192.168.10.20,54103
5,1769523420.633387327,1769523420.633471251,2026-01-27T16:17:00.633387,2026-01-27T16:17:00.633471,83.92,64,192.168.10.20,54103
6,1769523420.637867928,1769523420.637962103,2026-01-27T16:17:00.637868,2026-01-27T16:17:00.637962,94.18,64,192.168.10.20,54103
7,1769523420.642298698,1769523420.642405272,2026-01-27T16:17:00.642299,2026-01-27T16:17:00.642405,106.57,64,192.168.10.20,54103
8,1769523420.646749973,1769523420.646849632,2026-01-27T16:17:00.646750,2026-01-27T16:17:00.646850,99.66,64,192.168.10.20,54103
9,1769523420.651288748,1769523420.651381731,2026-01-27T16:17:00.651289,2026-01-27T16:17:00.651382,92.98,64,192.168.10.20,54103
10,1769523420.655584335,1769523420.655668259,2026-01-27T16:17:00.655584,2026-01-27T16:17:00.655668,83.92,64,192.168.10.20,54103
11,1769523420.659865618,1769523420.659948826,2026-01-27T16:17:00.659866,2026-01-27T16:17:00.659949,83.21,64,192.168.10.20,54103
12,1769523420.664101362,1769523420.664184809,2026-01-27T16:17:00.664101,2026-01-27T16:17:00.664185,83.45,64,192.168.10.20,54103
13,1769523420.668438673,1769523420.668533564,2026-01-27T16:17:00.668439,2026-01-27T16:17:00.668534,94.89,64,192.168.10.20,54103
14,1769523420.672697067,1769523420.672780275,2026-01-27T16:17:00.672697,2026-01-27T16:17:00.672780,83.21,64,192.168.10.20,54103
15,1769523420.676986217,1769523420.677067757,2026-01-27T16:17:00.676986,2026-01-27T16:17:00.677068,81.54,64,192.168.10.20,54103
16,1769523420.681338072,1769523420.681422710,2026-01-27T16:17:00.681338,2026-01-27T16:17:00.681423,84.64,64,192.168.10.20,54103
17,1769523420.685542107,1769523420.685628891,2026-01-27T16:17:00.685542,2026-01-27T16:17:00.685629,86.78,64,192.168.10.20,54103
18,1769523420.689664364,1769523420.689809084,2026-01-27T16:17:00.689664,2026-01-27T16:17:00.689809,144.72,64,192.168.10.20,54103
19,1769523420.693810940,1769523420.693905592,2026-01-27T16:17:00.693811,2026-01-27T16:17:00.693906,94.65,64,192.168.10.20,54103
20,1769523420.697879076,1769523420.697963953,2026-01-27T16:17:00.697879,2026-01-27T16:17:00.697964,84.88,64,192.168.10.20,54103
21,1769523420.701908588,1769523420.701992512,2026-01-27T16:17:00.701909,2026-01-27T16:17:00.701993,83.92,64,192.168.10.20,54103
22,1769523420.705909014,1769523420.705992699,2026-01-27T16:17:00.705909,2026-01-27T16:17:00.705993,83.68,64,192.168.10.20,54103
23,1769523420.710018396,1769523420.710123539,2026-01-27T16:17:00.710018,2026-01-27T16:17:00.710124,105.14,64,192.168.10.20,54103
24,1769523420.713518143,1769523420.713577271,2026-01-27T16:17:00.713518,2026-01-27T16:17:00.713577,59.13,64,192.168.10.20,54103
25,1769523420.716957331,1769523420.717025280,2026-01-27T16:17:00.716957,2026-01-27T16:17:00.717025,67.95,64,192.168.10.20,54103
26,1769523420.720375299,1769523420.720434427,2026-01-27T16:17:00.720375,2026-01-27T16:17:00.720434,59.13,64,192.168.10.20,54103
27,1769523420.723825932,1769523420.723881245,2026-01-27T16:17:00.723826,2026-01-27T16:17:00.723881,55.31,64,192.168.10.20,54103
28,1769523420.727363825,1769523420.727418184,2026-01-27T16:17:00.727364,2026-01-27T16:17:00.727418,54.36,64,192.168.10.20,54103
29,1769523420.730936050,1769523420.730991364,2026-01-27T16:17:00.730936,2026-01-27T16:17:00.730991,55.31,64,192.168.10.20,54103
30,1769523420.734542131,1769523420.734595299,2026-01-27T16:17:00.734542,2026-01-27T16:17:00.734595,53.17,64,192.168.10.20,54103
31,1769523420.738055229,1769523420.738111258,2026-01-27T16:17:00.738055,2026-01-27T16:17:00.738111,56.03,64,192.168.10.20,54103
32,1769523420.741479158,1769523420.741534710,2026-01-27T16:17:00.741479,2026-01-27T16:17:00.741535,55.55,64,192.168.10.20,54103
33,1769523420.744948149,1769523420.745001793,2026-01-27T16:17:00.744948,2026-01-27T16:17:00.745002,53.64,64,192.168.10.20,54103
34,1769523420.748340130,1769523420.748396397,2026-01-27T16:17:00.748340,2026-01-27T16:17:00.748396,56.27,64,192.168.10.20,54103
35,1769523420.751805782,1769523420.751859426,2026-01-27T16:17:00.751806,2026-01-27T16:17:00.751859,53.64,64,192.168.10.20,54103
36,1769523420.755327940,1769523420.755377769,2026-01-27T16:17:00.755328,2026-01-27T16:17:00.755378,49.83,64,192.168.10.20,54103
37,1769523420.758986473,1769523420.759040833,2026-01-27T16:17:00.758986,2026-01-27T16:17:00.759041,54.36,64,192.168.10.20,54103
38,1769523420.762653351,1769523420.762705326,2026-01-27T16:17:00.762653,2026-01-27T16:17:00.762705,51.98,64,192.168.10.20,54103
39,1769523420.766301394,1769523420.766352892,2026-01-27T16:17:00.766301,2026-01-27T16:17:00.766353,51.50,64,192.168.10.20,54103
40,1769523420.769928455,1769523420.769978285,2026-01-27T16:17:00.769928,2026-01-27T16:17:00.769978,49.83,64,192.168.10.20,54103
41,1769523420.773376465,1769523420.773423672,2026-01-27T16:17:00.773376,2026-01-27T16:17:00.773424,47.21,64,192.168.10.20,54103
