sequence,status,send_time_epoch,recv_time_epoch,send_time_iso,recv_time_iso,rtt_us,packet_size_bytes,from_ip,from_port,error
1,timeout,,,,,,,,,timeout
2,timeout,,,,,,,,,timeout
3,timeout,,,,,,,,,timeout
4,ok,1769499536.407424927,1769499536.408277988,2026-01-27T09:38:56.407425,2026-01-27T09:38:56.408278,853.06,64,192.168.10.30,5005,
5,ok,1769499536.411249399,1769499536.411933184,2026-01-27T09:38:56.411249,2026-01-27T09:38:56.411933,683.78,64,192.168.10.30,5005,
6,ok,1769499536.414825916,1769499536.415484428,2026-01-27T09:38:56.414826,2026-01-27T09:38:56.415484,658.51,64,192.168.10.30,5005,
7,ok,1769499536.418366194,1769499536.418984413,2026-01-27T09:38:56.418366,2026-01-27T09:38:56.418984,618.22,64,192.168.10.30,5005,
8,ok,1769499536.421831369,1769499536.422421932,2026-01-27T09:38:56.421831,2026-01-27T09:38:56.422422,590.56,64,192.168.10.30,5005,
9,ok,1769499536.425260305,1769499536.425816298,2026-01-27T09:38:56.425260,2026-01-27T09:38:56.425816,555.99,64,192.168.10.30,5005,
10,ok,1769499536.428653479,1769499536.429274321,2026-01-27T09:38:56.428653,2026-01-27T09:38:56.429274,620.84,64,192.168.10.30,5005,
11,ok,1769499536.432186365,1769499536.432806730,2026-01-27T09:38:56.432186,2026-01-27T09:38:56.432807,620.37,64,192.168.10.30,5005,
12,ok,1769499536.435703516,1769499536.436296225,2026-01-27T09:38:56.435704,2026-01-27T09:38:56.436296,592.71,64,192.168.10.30,5005,
13,ok,1769499536.439118624,1769499536.439661503,2026-01-27T09:38:56.439119,2026-01-27T09:38:56.439662,542.88,64,192.168.10.30,5005,
14,ok,1769499536.442488432,1769499536.443051100,2026-01-27T09:38:56.442488,2026-01-27T09:38:56.443051,562.67,64,192.168.10.30,5005,
15,ok,1769499536.445892096,1769499536.446501017,2026-01-27T09:38:56.445892,2026-01-27T09:38:56.446501,608.92,64,192.168.10.30,5005,
16,ok,1769499536.449406862,1769499536.450043917,2026-01-27T09:38:56.449407,2026-01-27T09:38:56.450044,637.05,64,192.168.10.30,5005,
17,ok,1769499536.453018188,1769499536.453666449,2026-01-27T09:38:56.453018,2026-01-27T09:38:56.453666,648.26,64,192.168.10.30,5005,
18,ok,1769499536.456573963,1769499536.457142115,2026-01-27T09:38:56.456574,2026-01-27T09:38:56.457142,568.15,64,192.168.10.30,5005,
19,ok,1769499536.459962845,1769499536.460513115,2026-01-27T09:38:56.459963,2026-01-27T09:38:56.460513,550.27,64,192.168.10.30,5005,
20,ok,1769499536.463352919,1769499536.463902950,2026-01-27T09:38:56.463353,2026-01-27T09:38:56.463903,550.03,64,192.168.10.30,5005,
21,ok,1769499536.466719389,1769499536.467221260,2026-01-27T09:38:56.466719,2026-01-27T09:38:56.467221,501.87,64,192.168.10.30,5005,
22,ok,1769499536.470091820,1769499536.470669746,2026-01-27T09:38:56.470092,2026-01-27T09:38:56.470670,577.93,64,192.168.10.30,5005,
23,ok,1769499536.473545074,1769499536.474136353,2026-01-27T09:38:56.473545,2026-01-27T09:38:56.474136,591.28,64,192.168.10.30,5005,
24,ok,1769499536.477018833,1769499536.477635145,2026-01-27T09:38:56.477019,2026-01-27T09:38:56.477635,616.31,64,192.168.10.30,5005,
25,ok,1769499536.480548143,1769499536.481225014,2026-01-27T09:38:56.480548,2026-01-27T09:38:56.481225,676.87,64,192.168.10.30,5005,
26,ok,1769499536.484171152,1769499536.484815836,2026-01-27T09:38:56.484171,2026-01-27T09:38:56.484816,644.68,64,192.168.10.30,5005,
27,ok,1769499536.487706423,1769499536.488263369,2026-01-27T09:38:56.487706,2026-01-27T09:38:56.488263,556.95,64,192.168.10.30,5005,
28,ok,1769499536.491038322,1769499536.491590261,2026-01-27T09:38:56.491038,2026-01-27T09:38:56.491590,551.94,64,192.168.10.30,5005,
29,ok,1769499536.494406462,1769499536.494951487,2026-01-27T09:38:56.494406,2026-01-27T09:38:56.494951,545.02,64,192.168.10.30,5005,
30,ok,1769499536.497755051,1769499536.498300076,2026-01-27T09:38:56.497755,2026-01-27T09:38:56.498300,545.02,64,192.168.10.30,5005,
31,ok,1769499536.501123190,1769499536.501698494,2026-01-27T09:38:56.501123,2026-01-27T09:38:56.501698,575.30,64,192.168.10.30,5005,
32,ok,1769499536.504553318,1769499536.505152941,2026-01-27T09:38:56.504553,2026-01-27T09:38:56.505153,599.62,64,192.168.10.30,5005,
33,ok,1769499536.508016586,1769499536.508596182,2026-01-27T09:38:56.508017,2026-01-27T09:38:56.508596,579.60,64,192.168.10.30,5005,
34,ok,1769499536.511562347,1769499536.512246847,2026-01-27T09:38:56.511562,2026-01-27T09:38:56.512247,684.50,64,192.168.10.30,5005,
35,ok,1769499536.515146971,1769499536.515819788,2026-01-27T09:38:56.515147,2026-01-27T09:38:56.515820,672.82,64,192.168.10.30,5005,
36,ok,1769499536.518660069,1769499536.519247532,2026-01-27T09:38:56.518660,2026-01-27T09:38:56.519248,587.46,64,192.168.10.30,5005,
37,ok,1769499536.522087574,1769499536.522668362,2026-01-27T09:38:56.522088,2026-01-27T09:38:56.522668,580.79,64,192.168.10.30,5005,
38,ok,1769499536.525477886,1769499536.526015759,2026-01-27T09:38:56.525478,2026-01-27T09:38:56.526016,537.87,64,192.168.10.30,5005,
39,ok,1769499536.528823137,1769499536.529374838,2026-01-27T09:38:56.528823,2026-01-27T09:38:56.529375,551.70,64,192.168.10.30,5005,
40,ok,1769499536.532197952,1769499536.532773018,2026-01-27T09:38:56.532198,2026-01-27T09:38:56.532773,575.07,64,192.168.10.30,5005,
41,ok,1769499536.535624027,1769499536.536185265,2026-01-27T09:38:56.535624,2026-01-27T09:38:56.536185,561.24,64,192.168.10.30,5005,
