sequence,status,send_time_epoch,recv_time_epoch,send_time_iso,recv_time_iso,rtt_us,packet_size_bytes,from_ip,from_port,error
1,ok,1769523420.615811586,1769523420.616769075,2026-01-27T16:17:00.615812,2026-01-27T16:17:00.616769,957.49,64,192.168.10.30,5005,
2,ok,1769523420.619613409,1769523420.621988297,2026-01-27T16:17:00.619613,2026-01-27T16:17:00.621988,2374.89,64,192.168.10.30,5005,
3,ok,1769523420.624818325,1769523420.626831293,2026-01-27T16:17:00.624818,2026-01-27T16:17:00.626831,2012.97,64,192.168.10.30,5005,
4,ok,1769523420.629680634,1769523420.631449938,2026-01-27T16:17:00.629681,2026-01-27T16:17:00.631450,1769.30,64,192.168.10.30,5005,
5,ok,1769523420.634244680,1769523420.635915518,2026-01-27T16:17:00.634245,2026-01-27T16:17:00.635916,1670.84,64,192.168.10.30,5005,
6,ok,1769523420.638771296,1769523420.640423775,2026-01-27T16:17:00.638771,2026-01-27T16:17:00.640424,1652.48,64,192.168.10.30,5005,
7,ok,1769523420.643332958,1769523420.645040035,2026-01-27T16:17:00.643333,2026-01-27T16:17:00.645040,1707.08,64,192.168.10.30,5005,
8,ok,1769523420.648031950,1769523420.649347067,2026-01-27T16:17:00.648032,2026-01-27T16:17:00.649347,1315.12,64,192.168.10.30,5005,
9,ok,1769523420.652183056,1769523420.653876066,2026-01-27T16:17:00.652183,2026-01-27T16:17:00.653876,1693.01,64,192.168.10.30,5005,
10,ok,1769523420.656683683,1769523420.658149481,2026-01-27T16:17:00.656684,2026-01-27T16:17:00.658149,1465.80,64,192.168.10.30,5005,
11,ok,1769523420.660963774,1769523420.662428141,2026-01-27T16:17:00.660964,2026-01-27T16:17:00.662428,1464.37,64,192.168.10.30,5005,
12,ok,1769523420.665329933,1769523420.666641474,2026-01-27T16:17:00.665330,2026-01-27T16:17:00.666641,1311.54,64,192.168.10.30,5005,
13,ok,1769523420.669540405,1769523420.671199322,2026-01-27T16:17:00.669540,2026-01-27T16:17:00.671199,1658.92,64,192.168.10.30,5005,
14,ok,1769523420.674189568,1769523420.675323248,2026-01-27T16:17:00.674190,2026-01-27T16:17:00.675323,1133.68,64,192.168.10.30,5005,
15,ok,1769523420.678204060,1769523420.679542065,2026-01-27T16:17:00.678204,2026-01-27T16:17:00.679542,1338.01,64,192.168.10.30,5005,
16,ok,1769523420.682369947,1769523420.683904409,2026-01-27T16:17:00.682370,2026-01-27T16:17:00.683904,1534.46,64,192.168.10.30,5005,
17,ok,1769523420.686723948,1769523420.688078642,2026-01-27T16:17:00.686724,2026-01-27T16:17:00.688079,1354.69,64,192.168.10.30,5005,
18,ok,1769523420.690937042,1769523420.692189455,2026-01-27T16:17:00.690937,2026-01-27T16:17:00.692189,1252.41,64,192.168.10.30,5005,
19,ok,1769523420.694994688,1769523420.696391582,2026-01-27T16:17:00.694995,2026-01-27T16:17:00.696392,1396.89,64,192.168.10.30,5005,
20,ok,1769523420.699202538,1769523420.700569868,2026-01-27T16:17:00.699203,2026-01-27T16:17:00.700570,1367.33,64,192.168.10.30,5005,
21,ok,1769523420.703526974,1769523420.704531670,2026-01-27T16:17:00.703527,2026-01-27T16:17:00.704532,1004.70,64,192.168.10.30,5005,
22,ok,1769523420.707437515,1769523420.708515882,2026-01-27T16:17:00.707438,2026-01-27T16:17:00.708516,1078.37,64,192.168.10.30,5005,
23,ok,1769523420.711343527,1769523420.712594748,2026-01-27T16:17:00.711344,2026-01-27T16:17:00.712595,1251.22,64,192.168.10.30,5005,
24,ok,1769523420.715443134,1769523420.716070652,2026-01-27T16:17:00.715443,2026-01-27T16:17:00.716071,627.52,64,192.168.10.30,5005,
25,ok,1769523420.718905687,1769523420.719475031,2026-01-27T16:17:00.718906,2026-01-27T16:17:00.719475,569.34,64,192.168.10.30,5005,
26,ok,1769523420.722315073,1769523420.722915888,2026-01-27T16:17:00.722315,2026-01-27T16:17:00.722916,600.81,64,192.168.10.30,5005,
27,ok,1769523420.725786209,1769523420.726371765,2026-01-27T16:17:00.725786,2026-01-27T16:17:00.726372,585.56,64,192.168.10.30,5005,
28,ok,1769523420.729291439,1769523420.729885578,2026-01-27T16:17:00.729291,2026-01-27T16:17:00.729886,594.14,64,192.168.10.30,5005,
29,ok,1769523420.732824802,1769523420.733532190,2026-01-27T16:17:00.732825,2026-01-27T16:17:00.733532,707.39,64,192.168.10.30,5005,
30,ok,1769523420.736459255,1769523420.737080574,2026-01-27T16:17:00.736459,2026-01-27T16:17:00.737081,621.32,64,192.168.10.30,5005,
31,ok,1769523420.740021944,1769523420.740623951,2026-01-27T16:17:00.740022,2026-01-27T16:17:00.740624,602.01,64,192.168.10.30,5005,
32,ok,1769523420.743446589,1769523420.744048834,2026-01-27T16:17:00.743447,2026-01-27T16:17:00.744049,602.25,64,192.168.10.30,5005,
33,ok,1769523420.746903896,1769523420.747494698,2026-01-27T16:17:00.746904,2026-01-27T16:17:00.747495,590.80,64,192.168.10.30,5005,
34,ok,1769523420.750302553,1769523420.750918150,2026-01-27T16:17:00.750303,2026-01-27T16:17:00.750918,615.60,64,192.168.10.30,5005,
35,ok,1769523420.753740311,1769523420.754341602,2026-01-27T16:17:00.753740,2026-01-27T16:17:00.754342,601.29,64,192.168.10.30,5005,
36,ok,1769523420.757269621,1769523420.757857800,2026-01-27T16:17:00.757270,2026-01-27T16:17:00.757858,588.18,64,192.168.10.30,5005,
37,ok,1769523420.760913610,1769523420.761683941,2026-01-27T16:17:00.760914,2026-01-27T16:17:00.761684,770.33,64,192.168.10.30,5005,
38,ok,1769523420.764576197,1769523420.765242815,2026-01-27T16:17:00.764576,2026-01-27T16:17:00.765243,666.62,64,192.168.10.30,5005,
39,ok,1769523420.768204689,1769523420.768920422,2026-01-27T16:17:00.768205,2026-01-27T16:17:00.768920,715.73,64,192.168.10.30,5005,
40,ok,1769523420.771873236,1769523420.772490025,2026-01-27T16:17:00.771873,2026-01-27T16:17:00.772490,616.79,64,192.168.10.30,5005,
41,ok,1769523420.775343895,1769523420.775938988,2026-01-27T16:17:00.775344,2026-01-27T16:17:00.775939,595.09,64,192.168.10.30,5005,
42,ok,1769523420.778775215,1769523420.779304504,2026-01-27T16:17:00.778775,2026-01-27T16:17:00.779305,529.29,64,192.168.10.30,5005,
43,ok,1769523420.782149315,1769523420.782732725,2026-01-27T16:17:00.782149,2026-01-27T16:17:00.782733,583.41,64,192.168.10.30,5005,
44,ok,1769523420.785568476,1769523420.786149025,2026-01-27T16:17:00.785568,2026-01-27T16:17:00.786149,580.55,64,192.168.10.30,5005,
45,ok,1769523420.789003372,1769523420.789607286,2026-01-27T16:17:00.789003,2026-01-27T16:17:00.789607,603.91,64,192.168.10.30,5005,
46,ok,1769523420.792529821,1769523420.793133497,2026-01-27T16:17:00.792530,2026-01-27T16:17:00.793133,603.68,64,192.168.10.30,5005,
47,ok,1769523420.796069860,1769523420.796689987,2026-01-27T16:17:00.796070,2026-01-27T16:17:00.796690,620.13,64,192.168.10.30,5005,
48,ok,1769523420.799669027,1769523420.800363064,2026-01-27T16:17:00.799669,2026-01-27T16:17:00.800363,694.04,64,192.168.10.30,5005,
49,ok,1769523420.803264141,1769523420.803947926,2026-01-27T16:17:00.803264,2026-01-27T16:17:00.803948,683.78,64,192.168.10.30,5005,
50,ok,1769523420.806871891,1769523420.807525396,2026-01-27T16:17:00.806872,2026-01-27T16:17:00.807525,653.51,64,192.168.10.30,5005,
51,ok,1769523420.810345650,1769523420.810987473,2026-01-27T16:17:00.810346,2026-01-27T16:17:00.810987,641.82,64,192.168.10.30,5005,
52,ok,1769523420.813832521,1769523420.814448357,2026-01-27T16:17:00.813833,2026-01-27T16:17:00.814448,615.84,64,192.168.10.30,5005,
53,ok,1769523420.817247391,1769523420.817854643,2026-01-27T16:17:00.817247,2026-01-27T16:17:00.817855,607.25,64,192.168.10.30,5005,
54,ok,1769523420.820674419,1769523420.821302891,2026-01-27T16:17:00.820674,2026-01-27T16:17:00.821303,628.47,64,192.168.10.30,5005,
55,ok,1769523420.824236631,1769523420.824844599,2026-01-27T16:17:00.824237,2026-01-27T16:17:00.824845,607.97,64,192.168.10.30,5005,
56,ok,1769523420.827732086,1769523420.828410864,2026-01-27T16:17:00.827732,2026-01-27T16:17:00.828411,678.78,64,192.168.10.30,5005,
57,ok,1769523420.831292152,1769523420.831973314,2026-01-27T16:17:00.831292,2026-01-27T16:17:00.831973,681.16,64,192.168.10.30,5005,
58,ok,1769523420.834960938,1769523420.835703850,2026-01-27T16:17:00.834961,2026-01-27T16:17:00.835704,742.91,64,192.168.10.30,5005,
59,ok,1769523420.838661432,1769523420.839318991,2026-01-27T16:17:00.838661,2026-01-27T16:17:00.839319,657.56,64,192.168.10.30,5005,
60,ok,1769523420.842176914,1769523420.842793941,2026-01-27T16:17:00.842177,2026-01-27T16:17:00.842794,617.03,64,192.168.10.30,5005,
61,ok,1769523420.845661402,1769523420.846253633,2026-01-27T16:17:00.845661,2026-01-27T16:17:00.846254,592.23,64,192.168.10.30,5005,
62,ok,1769523420.849085808,1769523420.849702597,2026-01-27T16:17:00.849086,2026-01-27T16:17:00.849703,616.79,64,192.168.10.30,5005,
63,ok,1769523420.852516890,1769523420.853123903,2026-01-27T16:17:00.852517,2026-01-27T16:17:00.853124,607.01,64,192.168.10.30,5005,
64,ok,1769523420.855939865,1769523420.856568098,2026-01-27T16:17:00.855940,2026-01-27T16:17:00.856568,628.23,64,192.168.10.30,5005,
65,ok,1769523420.859498024,1769523420.860123158,2026-01-27T16:17:00.859498,2026-01-27T16:17:00.860123,625.13,64,192.168.10.30,5005,
66,ok,1769523420.863139629,1769523420.863785982,2026-01-27T16:17:00.863140,2026-01-27T16:17:00.863786,646.35,64,192.168.10.30,5005,
67,ok,1769523420.866781473,1769523420.867472410,2026-01-27T16:17:00.866781,2026-01-27T16:17:00.867472,690.94,64,192.168.10.30,5005,
68,ok,1769523420.870349646,1769523420.871010303,2026-01-27T16:17:00.870350,2026-01-27T16:17:00.871010,660.66,64,192.168.10.30,5005,
69,ok,1769523420.873919725,1769523420.874534607,2026-01-27T16:17:00.873920,2026-01-27T16:17:00.874535,614.88,64,192.168.10.30,5005,
70,ok,1769523420.877345085,1769523420.877963066,2026-01-27T16:17:00.877345,2026-01-27T16:17:00.877963,617.98,64,192.168.10.30,5005,
