sequence,status,send_time_epoch,recv_time_epoch,send_time_iso,recv_time_iso,rtt_us,packet_size_bytes,from_ip,from_port,error
1,timeout,,,,,,,,,timeout
2,timeout,,,,,,,,,timeout
3,timeout,,,,,,,,,timeout
4,timeout,,,,,,,,,timeout
5,timeout,,,,,,,,,timeout
6,ok,1769522811.562922955,1769522811.563772202,2026-01-27T16:06:51.562923,2026-01-27T16:06:51.563772,849.25,64,192.168.10.30,5005,
7,ok,1769522811.570665359,1769522811.571313620,2026-01-27T16:06:51.570665,2026-01-27T16:06:51.571314,648.26,64,192.168.10.30,5005,
8,ok,1769522811.574167967,1769522811.574744463,2026-01-27T16:06:51.574168,2026-01-27T16:06:51.574744,576.50,64,192.168.10.30,5005,
9,ok,1769522811.577597618,1769522811.578158617,2026-01-27T16:06:51.577598,2026-01-27T16:06:51.578159,561.00,64,192.168.10.30,5005,
10,ok,1769522811.580973148,1769522811.581534624,2026-01-27T16:06:51.580973,2026-01-27T16:06:51.581535,561.48,64,192.168.10.30,5005,
11,ok,1769522811.584384441,1769522811.584976673,2026-01-27T16:06:51.584384,2026-01-27T16:06:51.584977,592.23,64,192.168.10.30,5005,
12,ok,1769522811.587873459,1769522811.588453531,2026-01-27T16:06:51.587873,2026-01-27T16:06:51.588454,580.07,64,192.168.10.30,5005,
13,ok,1769522811.591295719,1769522811.591871977,2026-01-27T16:06:51.591296,2026-01-27T16:06:51.591872,576.26,64,192.168.10.30,5005,
14,ok,1769522811.594713688,1769522811.595291615,2026-01-27T16:06:51.594714,2026-01-27T16:06:51.595292,577.93,64,192.168.10.30,5005,
15,ok,1769522811.598125219,1769522811.598684072,2026-01-27T16:06:51.598125,2026-01-27T16:06:51.598684,558.85,64,192.168.10.30,5005,
16,ok,1769522811.601547003,1769522811.602129459,2026-01-27T16:06:51.601547,2026-01-27T16:06:51.602129,582.46,64,192.168.10.30,5005,
17,ok,1769522811.605004549,1769522811.605670929,2026-01-27T16:06:51.605005,2026-01-27T16:06:51.605671,666.38,64,192.168.10.30,5005,
18,ok,1769522811.608673334,1769522811.609259605,2026-01-27T16:06:51.608673,2026-01-27T16:06:51.609260,586.27,64,192.168.10.30,5005,
19,ok,1769522811.612224102,1769522811.612807512,2026-01-27T16:06:51.612224,2026-01-27T16:06:51.612808,583.41,64,192.168.10.30,5005,
20,ok,1769522811.615638971,1769522811.616222620,2026-01-27T16:06:51.615639,2026-01-27T16:06:51.616223,583.65,64,192.168.10.30,5005,
21,ok,1769522811.618990183,1769522811.619534492,2026-01-27T16:06:51.618990,2026-01-27T16:06:51.619534,544.31,64,192.168.10.30,5005,
22,ok,1769522811.622344732,1769522811.622903109,2026-01-27T16:06:51.622345,2026-01-27T16:06:51.622903,558.38,64,192.168.10.30,5005,
23,ok,1769522811.625723600,1769522811.626285791,2026-01-27T16:06:51.625724,2026-01-27T16:06:51.626286,562.19,64,192.168.10.30,5005,
24,ok,1769522811.629126072,1769522811.629696608,2026-01-27T16:06:51.629126,2026-01-27T16:06:51.629697,570.54,64,192.168.10.30,5005,
25,ok,1769522811.632712603,1769522811.633575678,2026-01-27T16:06:51.632713,2026-01-27T16:06:51.633576,863.08,64,192.168.10.30,5005,
26,ok,1769522811.636696577,1769522811.637566805,2026-01-27T16:06:51.636697,2026-01-27T16:06:51.637567,870.23,64,192.168.10.30,5005,
27,ok,1769522811.640547037,1769522811.641338348,2026-01-27T16:06:51.640547,2026-01-27T16:06:51.641338,791.31,64,192.168.10.30,5005,
28,ok,1769522811.644320011,1769522811.645024776,2026-01-27T16:06:51.644320,2026-01-27T16:06:51.645025,704.77,64,192.168.10.30,5005,
29,ok,1769522811.648017168,1769522811.648646593,2026-01-27T16:06:51.648017,2026-01-27T16:06:51.648647,629.43,64,192.168.10.30,5005,
30,ok,1769522811.651594639,1769522811.652256966,2026-01-27T16:06:51.651595,2026-01-27T16:06:51.652257,662.33,64,192.168.10.30,5005,
31,ok,1769522811.655160666,1769522811.655762911,2026-01-27T16:06:51.655161,2026-01-27T16:06:51.655763,602.25,64,192.168.10.30,5005,
32,ok,1769522811.658634901,1769522811.659212589,2026-01-27T16:06:51.658635,2026-01-27T16:06:51.659213,577.69,64,192.168.10.30,5005,
33,ok,1769522811.662048817,1769522811.662618876,2026-01-27T16:06:51.662049,2026-01-27T16:06:51.662619,570.06,64,192.168.10.30,5005,
34,ok,1769522811.665432930,1769522811.665959120,2026-01-27T16:06:51.665433,2026-01-27T16:06:51.665959,526.19,64,192.168.10.30,5005,
35,ok,1769522811.668804884,1769522811.669350147,2026-01-27T16:06:51.668805,2026-01-27T16:06:51.669350,545.26,64,192.168.10.30,5005,
36,ok,1769522811.672168493,1769522811.672722578,2026-01-27T16:06:51.672168,2026-01-27T16:06:51.672723,554.08,64,192.168.10.30,5005,
37,ok,1769522811.675589085,1769522811.676205158,2026-01-27T16:06:51.675589,2026-01-27T16:06:51.676205,616.07,64,192.168.10.30,5005,
38,ok,1769522811.679081202,1769522811.679649830,2026-01-27T16:06:51.679081,2026-01-27T16:06:51.679650,568.63,64,192.168.10.30,5005,
39,ok,1769522811.682638168,1769522811.683326483,2026-01-27T16:06:51.682638,2026-01-27T16:06:51.683326,688.31,64,192.168.10.30,5005,
40,ok,1769522811.686354399,1769522811.687004566,2026-01-27T16:06:51.686354,2026-01-27T16:06:51.687005,650.17,64,192.168.10.30,5005,
41,ok,1769522811.689870358,1769522811.690442085,2026-01-27T16:06:51.689870,2026-01-27T16:06:51.690442,571.73,64,192.168.10.30,5005,
42,ok,1769522811.693280220,1769522811.693824768,2026-01-27T16:06:51.693280,2026-01-27T16:06:51.693825,544.55,64,192.168.10.30,5005,
43,ok,1769522811.696647882,1769522811.697180510,2026-01-27T16:06:51.696648,2026-01-27T16:06:51.697181,532.63,64,192.168.10.30,5005,
