sequence,status,send_time_epoch,recv_time_epoch,send_time_iso,recv_time_iso,rtt_us,packet_size_bytes,from_ip,from_port,error
43,ok,1769521223.281082392,1769521223.281701088,2026-01-27T15:40:23.281082,2026-01-27T15:40:23.281701,618.70,64,192.168.10.30,5005,
44,ok,1769521223.284538984,1769521223.285131454,2026-01-27T15:40:23.284539,2026-01-27T15:40:23.285131,592.47,64,192.168.10.30,5005,
45,ok,1769521223.287946939,1769521223.288577080,2026-01-27T15:40:23.287947,2026-01-27T15:40:23.288577,630.14,64,192.168.10.30,5005,
46,ok,1769521223.291416883,1769521223.292031765,2026-01-27T15:40:23.291417,2026-01-27T15:40:23.292032,614.88,64,192.168.10.30,5005,
47,ok,1769521223.294896603,1769521223.295539618,2026-01-27T15:40:23.294897,2026-01-27T15:40:23.295540,643.01,64,192.168.10.30,5005,
48,ok,1769521223.298423767,1769521223.299028635,2026-01-27T15:40:23.298424,2026-01-27T15:40:23.299029,604.87,64,192.168.10.30,5005,
49,ok,1769521223.302100420,1769521223.302803278,2026-01-27T15:40:23.302100,2026-01-27T15:40:23.302803,702.86,64,192.168.10.30,5005,
50,ok,1769521223.305762053,1769521223.306414127,2026-01-27T15:40:23.305762,2026-01-27T15:40:23.306414,652.07,64,192.168.10.30,5005,
51,ok,1769521223.309316874,1769521223.309989214,2026-01-27T15:40:23.309317,2026-01-27T15:40:23.309989,672.34,64,192.168.10.30,5005,
52,ok,1769521223.312958717,1769521223.313683987,2026-01-27T15:40:23.312959,2026-01-27T15:40:23.313684,725.27,64,192.168.10.30,5005,
53,ok,1769521223.316635132,1769521223.317242146,2026-01-27T15:40:23.316635,2026-01-27T15:40:23.317242,607.01,64,192.168.10.30,5005,
54,ok,1769521223.320069551,1769521223.320673227,2026-01-27T15:40:23.320070,2026-01-27T15:40:23.320673,603.68,64,192.168.10.30,5005,
55,ok,1769521223.323512793,1769521223.324075460,2026-01-27T15:40:23.323513,2026-01-27T15:40:23.324075,562.67,64,192.168.10.30,5005,
56,ok,1769521223.326896191,1769521223.327476978,2026-01-27T15:40:23.326896,2026-01-27T15:40:23.327477,580.79,64,192.168.10.30,5005,
57,ok,1769521223.330301285,1769521223.330959558,2026-01-27T15:40:23.330301,2026-01-27T15:40:23.330960,658.27,64,192.168.10.30,5005,
58,ok,1769521223.333804131,1769521223.334420204,2026-01-27T15:40:23.333804,2026-01-27T15:40:23.334420,616.07,64,192.168.10.30,5005,
59,ok,1769521223.337306023,1769521223.337943316,2026-01-27T15:40:23.337306,2026-01-27T15:40:23.337943,637.29,64,192.168.10.30,5005,
60,ok,1769521223.340878010,1769521223.341563225,2026-01-27T15:40:23.340878,2026-01-27T15:40:23.341563,685.21,64,192.168.10.30,5005,
61,ok,1769521223.344457150,1769521223.345126629,2026-01-27T15:40:23.344457,2026-01-27T15:40:23.345127,669.48,64,192.168.10.30,5005,
62,ok,1769521223.348025560,1769521223.348632574,2026-01-27T15:40:23.348026,2026-01-27T15:40:23.348633,607.01,64,192.168.10.30,5005,
63,ok,1769521223.351469994,1769521223.352078915,2026-01-27T15:40:23.351470,2026-01-27T15:40:23.352079,608.92,64,192.168.10.30,5005,
64,ok,1769521223.354897499,1769521223.355541706,2026-01-27T15:40:23.354897,2026-01-27T15:40:23.355542,644.21,64,192.168.10.30,5005,
65,ok,1769521223.358359575,1769521223.358967304,2026-01-27T15:40:23.358360,2026-01-27T15:40:23.358967,607.73,64,192.168.10.30,5005,
66,ok,1769521223.361796379,1769521223.362397909,2026-01-27T15:40:23.361796,2026-01-27T15:40:23.362398,601.53,64,192.168.10.30,5005,
67,ok,1769521223.365215063,1769521223.365842104,2026-01-27T15:40:23.365215,2026-01-27T15:40:23.365842,627.04,64,192.168.10.30,5005,
68,ok,1769521223.368725300,1769521223.369374990,2026-01-27T15:40:23.368725,2026-01-27T15:40:23.369375,649.69,64,192.168.10.30,5005,
69,ok,1769521223.372271299,1769521223.372922421,2026-01-27T15:40:23.372271,2026-01-27T15:40:23.372922,651.12,64,192.168.10.30,5005,
70,ok,1769521223.375807524,1769521223.376455069,2026-01-27T15:40:23.375808,2026-01-27T15:40:23.376455,647.54,64,192.168.10.30,5005,
71,ok,1769521223.379344702,1769521223.379945040,2026-01-27T15:40:23.379345,2026-01-27T15:40:23.379945,600.34,64,192.168.10.30,5005,
72,ok,1769521223.382775784,1769521223.383382797,2026-01-27T15:40:23.382776,2026-01-27T15:40:23.383383,607.01,64,192.168.10.30,5005,
73,ok,1769521223.386224747,1769521223.386821985,2026-01-27T15:40:23.386225,2026-01-27T15:40:23.386822,597.24,64,192.168.10.30,5005,
74,ok,1769521223.389692783,1769521223.390258789,2026-01-27T15:40:23.389693,2026-01-27T15:40:23.390259,566.01,64,192.168.10.30,5005,
75,ok,1769521223.393064737,1769521223.393635511,2026-01-27T15:40:23.393065,2026-01-27T15:40:23.393636,570.77,64,192.168.10.30,5005,
