packet,recv_time_epoch,send_time_epoch,recv_time_iso,send_time_iso,processing_time_us,packet_size_bytes,from_ip,from_port
1,1769499536.407623529,1769499536.407734156,2026-01-27T09:38:56.407624,2026-01-27T09:38:56.407734,110.63,64,192.168.10.20,57562
2,1769499536.411362648,1769499536.411436796,2026-01-27T09:38:56.411363,2026-01-27T09:38:56.411437,74.15,64,192.168.10.20,57562
3,1769499536.414934874,1769499536.414993048,2026-01-27T09:38:56.414935,2026-01-27T09:38:56.414993,58.17,64,192.168.10.20,57562
4,1769499536.418431759,1769499536.418487072,2026-01-27T09:38:56.418432,2026-01-27T09:38:56.418487,55.31,64,192.168.10.20,57562
5,1769499536.421884775,1769499536.421938896,2026-01-27T09:38:56.421885,2026-01-27T09:38:56.421939,54.12,64,192.168.10.20,57562
6,1769499536.425321102,1769499536.425371647,2026-01-27T09:38:56.425321,2026-01-27T09:38:56.425372,50.54,64,192.168.10.20,57562
7,1769499536.428738594,1769499536.428801060,2026-01-27T09:38:56.428739,2026-01-27T09:38:56.428801,62.47,64,192.168.10.20,57562
8,1769499536.432269812,1769499536.432328939,2026-01-27T09:38:56.432270,2026-01-27T09:38:56.432329,59.13,64,192.168.10.20,57562
9,1769499536.435769796,1769499536.435821772,2026-01-27T09:38:56.435770,2026-01-27T09:38:56.435822,51.98,64,192.168.10.20,57562
10,1769499536.439158440,1769499536.439210415,2026-01-27T09:38:56.439158,2026-01-27T09:38:56.439210,51.98,64,192.168.10.20,57562
11,1769499536.442531586,1769499536.442584276,2026-01-27T09:38:56.442532,2026-01-27T09:38:56.442584,52.69,64,192.168.10.20,57562
12,1769499536.445968390,1769499536.446019650,2026-01-27T09:38:56.445968,2026-01-27T09:38:56.446020,51.26,64,192.168.10.20,57562
13,1769499536.449488163,1769499536.449541330,2026-01-27T09:38:56.449488,2026-01-27T09:38:56.449541,53.17,64,192.168.10.20,57562
14,1769499536.453118563,1769499536.453176260,2026-01-27T09:38:56.453119,2026-01-27T09:38:56.453176,57.70,64,192.168.10.20,57562
15,1769499536.456619024,1769499536.456673622,2026-01-27T09:38:56.456619,2026-01-27T09:38:56.456674,54.60,64,192.168.10.20,57562
16,1769499536.460004330,1769499536.460062265,2026-01-27T09:38:56.460004,2026-01-27T09:38:56.460062,57.94,64,192.168.10.20,57562
17,1769499536.463393211,1769499536.463446856,2026-01-27T09:38:56.463393,2026-01-27T09:38:56.463447,53.64,64,192.168.10.20,57562
18,1769499536.466762066,1769499536.466812611,2026-01-27T09:38:56.466762,2026-01-27T09:38:56.466813,50.54,64,192.168.10.20,57562
19,1769499536.470163107,1769499536.470214367,2026-01-27T09:38:56.470163,2026-01-27T09:38:56.470214,51.26,64,192.168.10.20,57562
20,1769499536.473619938,1769499536.473674774,2026-01-27T09:38:56.473620,2026-01-27T09:38:56.473675,54.84,64,192.168.10.20,57562
21,1769499536.477114916,1769499536.477170706,2026-01-27T09:38:56.477115,2026-01-27T09:38:56.477171,55.79,64,192.168.10.20,57562
22,1769499536.480627298,1769499536.480682135,2026-01-27T09:38:56.480627,2026-01-27T09:38:56.480682,54.84,64,192.168.10.20,57562
23,1769499536.484267473,1769499536.484329224,2026-01-27T09:38:56.484267,2026-01-27T09:38:56.484329,61.75,64,192.168.10.20,57562
24,1769499536.487742901,1769499536.487793684,2026-01-27T09:38:56.487743,2026-01-27T09:38:56.487794,50.78,64,192.168.10.20,57562
25,1769499536.491067171,1769499536.491116762,2026-01-27T09:38:56.491067,2026-01-27T09:38:56.491117,49.59,64,192.168.10.20,57562
26,1769499536.494435787,1769499536.494487286,2026-01-27T09:38:56.494436,2026-01-27T09:38:56.494487,51.50,64,192.168.10.20,57562
27,1769499536.497798681,1769499536.497853994,2026-01-27T09:38:56.497799,2026-01-27T09:38:56.497854,55.31,64,192.168.10.20,57562
28,1769499536.501187563,1769499536.501237869,2026-01-27T09:38:56.501188,2026-01-27T09:38:56.501238,50.31,64,192.168.10.20,57562
29,1769499536.504612446,1769499536.504672766,2026-01-27T09:38:56.504612,2026-01-27T09:38:56.504673,60.32,64,192.168.10.20,57562
30,1769499536.508057833,1769499536.508110762,2026-01-27T09:38:56.508058,2026-01-27T09:38:56.508111,52.93,64,192.168.10.20,57562
31,1769499536.511673450,1769499536.511724472,2026-01-27T09:38:56.511673,2026-01-27T09:38:56.511724,51.02,64,192.168.10.20,57562
32,1769499536.515271902,1769499536.515329599,2026-01-27T09:38:56.515272,2026-01-27T09:38:56.515330,57.70,64,192.168.10.20,57562
33,1769499536.518709183,1769499536.518758774,2026-01-27T09:38:56.518709,2026-01-27T09:38:56.518759,49.59,64,192.168.10.20,57562
34,1769499536.522148371,1769499536.522199631,2026-01-27T09:38:56.522148,2026-01-27T09:38:56.522200,51.26,64,192.168.10.20,57562
35,1769499536.525516510,1769499536.525568485,2026-01-27T09:38:56.525517,2026-01-27T09:38:56.525568,51.98,64,192.168.10.20,57562
36,1769499536.528866529,1769499536.528920412,2026-01-27T09:38:56.528867,2026-01-27T09:38:56.528920,53.88,64,192.168.10.20,57562
37,1769499536.532246113,1769499536.532302856,2026-01-27T09:38:56.532246,2026-01-27T09:38:56.532303,56.74,64,192.168.10.20,57562
38,1769499536.535672426,1769499536.535716772,2026-01-27T09:38:56.535672,2026-01-27T09:38:56.535717,44.35,64,192.168.10.20,57562
39,1769499536.539080143,1769499536.539131880,2026-01-27T09:38:56.539080,2026-01-27T09:38:56.539132,51.74,64,192.168.10.20,57562
40,1769499536.542696238,1769499536.542746782,2026-01-27T09:38:56.542696,2026-01-27T09:38:56.542747,50.54,64,192.168.10.20,57562
41,1769499536.546204567,1769499536.546255827,2026-01-27T09:38:56.546205,2026-01-27T09:38:56.546256,51.26,64,192.168.10.20,57562
42,1769499536.549683809,1769499536.549731016,2026-01-27T09:38:56.549684,2026-01-27T09:38:56.549731,47.21,64,192.168.10.20,57562
43,1769499536.553076744,1769499536.553131104,2026-01-27T09:38:56.553077,2026-01-27T09:38:56.553131,54.36,64,192.168.10.20,57562
44,1769499536.556484938,1769499536.556539536,2026-01-27T09:38:56.556485,2026-01-27T09:38:56.556540,54.60,64,192.168.10.20,57562
45,1769499536.559821844,1769499536.559869289,2026-01-27T09:38:56.559822,2026-01-27T09:38:56.559869,47.45,64,192.168.10.20,57562
46,1769499536.563131809,1769499536.563184977,2026-01-27T09:38:56.563132,2026-01-27T09:38:56.563185,53.17,64,192.168.10.20,57562
47,1769499536.566560268,1769499536.566611290,2026-01-27T09:38:56.566560,2026-01-27T09:38:56.566611,51.02,64,192.168.10.20,57562
48,1769499536.570148706,1769499536.570202351,2026-01-27T09:38:56.570149,2026-01-27T09:38:56.570202,53.64,64,192.168.10.20,57562
